# worldgen-png-palette swatches
# Generated: 2026-07-06 20:16:38
# Proof chain: hex -> palette -> WorldGen key -> compiler -> Lua loads -> human visual
# Statuses:
#   VISUAL_CONFIRMED  - human confirmed in-game (documented MAP)
#   KNOWN_IN_CODE     - compiler accepts; no human visual proof yet
#   UNPROVEN_VISUAL   - no compiler or visual proof

HEX        TYPE     KEY                      PROOF_STATUS
---------- -------- ------------------------ -------------------
#0000FF    biome    water                    VISUAL_CONFIRMED
#D8C080    biome    sand_bank                VISUAL_CONFIRMED
#00AA00    biome    grass_plain              VISUAL_CONFIRMED
#55CC55    biome    flower_plain             VISUAL_CONFIRMED
#207020    biome    birch_forest             VISUAL_CONFIRMED
#145C14    biome    oak_forest               VISUAL_CONFIRMED
#0B4418    biome    pine_forest              VISUAL_CONFIRMED
#60A060    biome    light_birch_forest       VISUAL_CONFIRMED
#4F8F4F    biome    light_oak_forest         VISUAL_CONFIRMED
#3F7F50    biome    light_pine_forest        VISUAL_CONFIRMED
#FF6600    prefab   normal_road_WE_00        VISUAL_CONFIRMED
#CC3300    prefab   highway_NS_00            VISUAL_CONFIRMED
